标题,来源,概要,内容,链接
【眼界】西班牙,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,4月26日，西班牙巴斯克地区的小镇格尔尼卡，纪念空袭76周年的警报响起时，3位市民用手捂着耳朵。1937年4月26日，格尔尼卡遭到纳粹德国空军的空袭，当时7000人口的格尔尼卡死亡2000人，城镇化为废墟。这次空袭首开战争中攻击非主要城市的先例，举世震惊,,http://www.nfpeople.com/article/1866
图片故事 | 死亡体验,稿源：南方人物周刊  |  作者： 图、文/杨磊  日期： 2018-01-03,中国人对死亡是敬畏的，如果让一个人提前体验自己的死亡，重生之后又会有怎样的影响？,（点击图片查看图集）韩剧《来自星星的你》中出现过一家死亡体验馆，引发不少网友好奇。目前，这种“模拟葬礼”在韩国已经成了一种时尚。许多年轻学生都对此表现出浓厚的兴趣，并且争先恐后地去体验。现在，这种名为“死亡体验”的活动也在上海悄然兴起。80后白领小赵（化名）近两个月来突然害怕封闭的小空间，甚至连洗澡也要开着浴室的门。他试图寻找“病因”：3年前，他决定与相爱5年的恋人分手那天，把自己关在地下室的车里默默哭泣，不知不觉便到了深夜。是不是因为那个晚上，让自己对封闭的空间产生恐惧？偶然的机会，小赵从朋友圈中看到“死亡体验”，便决定去尝试。他穿上寿衣，写下一份遗书，手握鲜花，走向“死亡”。随着沉重漆黑的棺盖缓缓合上，小赵需要在棺材里呆上14分钟。小赵的脑海里浮现出小时候的事情。一次，父亲有急事出门，把他反锁在家里近4个小时，直到天黑才回到家，一个人在家的恐惧从此在小赵心里留下了巨大的阴影。小赵说，没有想到，自己的心事就这样死去了。中国人对死亡是敬畏的，如果让一个人提前体验自己的死亡，重生之后又会有怎样的影响？,http://www.nfpeople.com/article/2698
【眼界】香港长洲,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,"3月13日，香港长洲，一名动漫角色扮演者在搁浅的越南货船Sunrise Orient前拍照。这艘运载水泥的2500吨货船于2月21日航经长洲以东海面时发生进水水倾侧，水警将所有船员救起。货船随着风浪飘至长洲的东湾仔石滩搁浅，一半船身沉入海里。
图/Tyrone Siu", ,http://www.nfpeople.com/article/1363
图片故事 | 住在上海的洋人,稿源：南方人物周刊  |  作者： 图、文  雍和  日期： 2018-01-03,外国人，国人称老外，上海人叫洋人。上海靠海，外国人漂洋过海而来，故称洋人。,外国人，国人称老外，上海人叫洋人。上海靠海，外国人漂洋过海而来，故称洋人。开埠之前，就有少数洋人在上海居住。据记载，1843年，上海共有26个洋人；100年过去，到1942年已有15万。1945年，上海实行外国人居留证制度，开始进行管理；1949年，洋人纷纷撤离，年底只剩下25917人；据统计， 1980年，亚非拉欧美各国洋人统统加起来，只有618人。改革开放之后，上海变化巨大，高楼拔地而起，经济更发达了，洋人纷纷重返“魔都上海”，不算游客，现在常住约17万洋人。据美世咨询公司2015年的排名，上海不在100座全球最宜居城市之列。受交通、环境、食安、网络等因素影响，洋人中的高管离去不少。但与此同时，前来上海“淘金”的洋人依然络绎不绝。2016年底，上海再次启动新政，加快《外国人工作许可证》试点，以吸纳更多高层次洋人。1995年，上海卢湾，走出摄影棚的俄罗斯模特2000年11月，上海淮海中路的健身房，美国教练在辅导上海女人健身2002年，上海徐家汇，住在弄堂里的一家法国人2004年，上海虹口，一位爱尔兰人带着朋友在黄浦江上转圈2010年，上海外仓桥街，两名老外骑着摩托车来购物2010年，上海西郊，来沪打拼已经十多年的英国人胡润举办聚会，庆祝40岁生日2010年，上海愚园路，招聘会上前来应聘的外国人2010年，上海长宁，来公园找师父练拳的意大利人2015年，上海永康路，久居沪上，有些外国人就喜欢这样泡吧2016年，上海川沙，美国工程师站在迪士尼乐园的工地上,http://www.nfpeople.com/article/6487
罗马尼亚的斯芬克斯猫,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,3月9日，罗马尼亚布加勒斯特，一位裁判在国际宠物猫选美比赛上对一只斯芬克斯猫进行评估。斯芬克斯猫又称为加拿大无毛猫，是由基因变异产生的稀有品种，毛发稀疏且皮肤多褶皱，对温度变化和阳光较为敏感。 图/Bogdan Cristel,   ,http://www.nfpeople.com/article/1177
眼界 | 日本,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,7月6日，日本东京，游客在修葺翻新后的品川水上公园内观看如梦似幻的水母。, ,http://www.nfpeople.com/article/4308
眼界 | 西班牙,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,7月5日，西班牙小镇萨布塞多，民众参加传统的围捕野马节。围捕野马节是个古老的西班牙节日，已有400年历史，在7月的第一个周末举办。当地民众在节日的第一天清晨上山将野马围住，引到露天的围圈里，参加者要徒手驯服野马，展示自己的骑技。, ,http://www.nfpeople.com/article/4307
【眼界】奥地利,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,2月27日，身着盛装的舞者在维也纳国家歌剧舞会上翩翩起舞。维也纳歌剧院舞会始于1935年，于每年狂欢节假期的最后一个周四举行，与维也纳新年音乐会和西班牙马术学校盛装表演并称为奥地利三大国宝。,,http://www.nfpeople.com/article/1228
图片故事 | 美国人与枪,稿源：南方人物周刊  |  作者： 图  Hossein Fatemi  文  Cengiz Yar  编译  陈又礼 编辑  方迎忠  日期： 2018-01-03,美国《权利法案》第二修正案中写道：“一支受规范的武力乃确保自由国家之安全所必需，人民持有及携带武器之权利不可受侵犯。”这种思想基础对于很多美国人来说是某种难以撼动的民族认同感。美国国内轻武器的数量在2.7亿至3.2亿之间，这意味着几乎是“人手一枪”，无论男女老少。,对于美国《权利法案》而言，第二修正案是最受争议的部分之一，但坦白说来，整部美国宪法却都建立在此基础之上。其中写道：“一支受规范的武力乃确保自由国家之安全所必需，人民持有及携带武器之权利不可受侵犯。” 这简明的规条便是美国人概念中有关“轻武器私人化”的思想基础。而作为美利坚合众国的文化和政治产物，这种思想基础对于很多美国人来说是某种难以撼动的民族认同感；是有关个人主义与集体利益之间不可调和又离经叛道的失落；是一众开国先驱们从不曾设想过的、这个国家会患上的普世病症。各种数据表明，美国国内轻武器的数量在2.7亿至3.2亿之间，这意味着几乎是“人手一枪”，无论男女老少。枪支管制法因州的不同而异，其中制定了关于枪支所有权的各个方面，包括（而非仅限于）谁有资格买枪、什么样的枪可以被自由买卖以及枪可以在何处出现。比如说，加州明令禁止私人拥有突击步枪，但一出州境到了亚利桑那，便再无类似禁令了。在佛蒙特州，年满16就可买枪，可是一旦到了几小时车程外的康涅迪格，他则必须等到21岁。人们可以通过私人卖家、个体户甚至是诸如沃尔玛以及Bass Pro Shop(北美户外品牌)等大型购物中心购得枪支，而尽管大量法规中都提到哪些才是可购的种类，人们却还是能够在美国各处合法地买到全自动或大口径枪支。所以在某些州里，一个人通常可以径直走进一家商店，并且在一个钟头后，揣着刚到手的枪和子弹出来。在美国，每个购枪的人都有自己的理由。有些作为收藏者，纯粹为了枪支的独特工艺而买。但对于其他人，这些轻武器就好比一代代继承下来的传家珍宝。也有许多人都喜欢将射击视为某种运动项目或挑战，并把“枪法”当作一项宝贵的技能来加以学习。全美各地都有靶场以供练习射击，人们可以在这里租借枪支（或带上自己的），并于此购买子弹。然而，根据佩尤研究中心（美国某独立民调机构）在2013年3月公布的全国性调查，美国人买枪的两大主流原因为：自卫和狩猎。许多人家中存有不止一把枪支，随身携带或放置在车里，为的是保护自身及其财产。至于狩猎，作为许多州的传统习俗和当地居民的个人爱好，每年都会有数以百万计的美国人参与其中。另一方面，关于枪支的讨论始终围绕着每年死于轻武器的人数。FBI曾发布过这样一份数据，在2013年的12253桩凶杀案中，有8454桩是因为轻武器。而根据美国疾病控制和预防中心（CDC）的资料，同年的41149例自杀性事件中，21175例的载体是枪支。与世界上的其他国家相比，美国每年因枪死亡的案例确实多得骇人听闻。枪支与家庭暴力的关系也越来越受到关注。美国暴力政策中心的报告显示，美国女性人口在25个高收入国家的女性总人口中占32%，但因为枪支致死的女性却占到了84%。去年，美国国会参议院首次针对女性面对枪支暴力问题举行听证会，但面临着强大的拥枪利益集团，立法上要控枪困难重重。作为经济水平和执政力度水平相当的两个国家，英国的枪支致死率是10万分之0.25，而美国则高达10万分之10.30。那些针对枪支管控的倡导者说，政府需要出台更有力的枪支管理条例并且加强监督，枪支暴力事件才可能会减少。而反方则说，任何试图朝管控枪支方向发展的措施，都是对第二修正案的违宪。只要这双方僵持不下，枪便始终是美国人民生活中不可缺少的部分。俄克拉荷马州琼斯，12岁的瑞丽亚手持步枪站在客厅里。她玩枪已经好几年了，最近作为俄克拉荷马州中学马术协会双向飞碟射击队的选手之一，参加了一些比赛。她计划在2015年的夏天参加全国大赛德克萨斯州休斯顿，63岁的克鲁斯先生和他的步枪以及猎枪。克鲁斯是菲律宾移民，一生没有离开过枪。他最早的两把枪分别是.22口径和.45口径，那是他尚未离开菲律宾的青年时代。他说买枪是为了保护自己和家人。许多年前，一个入室抢劫的强盗曾用枪指着他女儿的头，把她逼到屋外，正是那次突发事件，激发他去考了持枪证并且随时随身带一把枪。“假设有人闯了进来，非要让我选的话，他死或我死，我更宁愿死的人是对方”，克鲁斯先生说。“很多人都有枪，但并不都会惹是生非；人嘛，总还是该有些自我保护意识的。”俄克拉荷马州琼斯，德裔美国人弗兰克持着他的9毫米口径手枪。在移民美国之前，他对枪知之甚少，因为在德国时，对弗兰克来说拥有一把枪是不合法的。而现在，弗兰克已经成为了一名对州法律中的隐性及显性持枪条例的忠实拥护者俄克拉荷马州琼斯，泰勒（22岁）和盖里，典型的美式父女，拿着他们最爱的枪，在客厅里摆好造型。外出打猎对于他们来说，是某种亲情关系的连结。在泰勒13岁时，盖里就开始教她如何打猎，现在，这成为了泰勒最喜欢的业余爱好。盖里是国家步枪协会（NRA）的认证教练，他每天都随身带枪，防身，同时也是为着时常练习国家赋予他的这份权利。枪支带来的消遣将这对父女拴在了一起俄克拉荷马州琼斯，玛格丽特站在她的枪支收纳柜前，这些都属于她和亡夫的共同财产。从6岁起，玛格丽特的父亲就开始教导她适当的枪支使用礼节和枪法。现在，她用枪是为了保护家庭和自己休斯顿，某枪支商店出售的货品俄克拉荷马市，威尔希尔射击俱乐部的靶场内，子弹壳散落一地俄克拉荷马市，Bass Pro Shop户外商店举办的枪支与动物标本展德克萨斯州休斯顿，汤姆，61岁，手持他祖父的那把“温切斯特1894”。1929年，他的祖父用34.2美金从一家五金店买了这把枪。汤姆说，至今为止他已经拥有了超过一百把枪，但他的第一把枪是在9岁时得到的，因为在他成长的德克萨斯州南部，每个人都会用枪打猎。现在汤姆是一名考古学家，并且还是德克萨斯州唯一一个历史弹药分析师,http://www.nfpeople.com/article/4169
【眼界】台湾,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,2月13日，元宵节前夕，大批全副武装的民众聚集在台南市盐水区，近距离体验蜂炮射击所带来的刺激，相传让冲天炮射中会转运。台南盐水蜂炮习俗始自清朝，因点燃时万炮齐发，如蜂群倾巢而出，故得名，是台湾元宵节时重要的地方民俗活动。,,http://www.nfpeople.com/article/1124
眼界 | 英国,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,12月18日，英国约克郡小镇埃尔斯卡举行“圣诞老人”跑步活动，参与者从一列蒸汽机车旁跑过。, ,http://www.nfpeople.com/article/6446
图片故事 | 轮椅先生的五百公里,稿源：南方人物周刊  |  作者： 图、文  梁莹菲 / 编辑  方迎忠 郑洁  日期： 2018-01-03,他希望通过这次“壮举”让“无障碍出行”的理念深入到更多人的心里，“只有这样才能从根本上改善残障人士的出行条件。”,离开内蒙古乌兰察布市兴和县往马市口方向走的路上，有一段延绵好几公里的大斜坡，张健展开双臂，伏下肩膀，使劲让轮椅往上走。坡太陡了，如果不奋力前进便会有后溜或翻倒的危险。坡上到一半，突然下起瓢泼大雨，湿滑的地面加大了前进的难度，还好有同伴帮助，他最终征服了这个陡坡。虽然如此，他却不敢松一口气，因为上坡之后的下坡，对他来说是更大的难关。这些挑战，只是张健今年7月徒步500公里前往北京途中的一个小片段，却足以让人震惊了。每当有车辆驶过，司机都会盯着他一看究竟；在小村庄修轮椅，更是吸引了全村村民的围观。即使在城市里，能看到轮椅的机会也不多，更别说是在国道上、在乡村土路上、在草原上……这不是因为残障人士数量少，而是城市缺少能让他们轻松出门的连贯的无障碍设施。盲道修一半就消失了，供轮椅进出的斜坡缺乏或设计不合理等等状况，无论是在现实中还是在心理上都阻碍了他们走出社会。正因如此，张健觉得自己正在做一件别人想象不到的事情。张健是山东临沂人，1981年出生，那是小儿麻痹症高发的一年，因为疏忽，他没有吃上预防小儿麻痹症的“糖丸”，在一次感冒后便再也站不起来了。经历了两年的针灸，3次大手术，他总算可以蹲着用手撑着双脚走路。父亲一直鼓励他与四肢健全的人接触，而奶奶每天帮他洗在地上蹭脏的裤子，亲人的关爱让他成为一个坚强的人。张健到广州读书后，因为手长适合打篮球，被领进了轮椅篮球的训练场，场内五花八门的运动轮椅仿佛给他的人生打开了另一道大门。从那以后，张健把轮椅视为生命中不可或缺的一部分。运动轮椅十分昂贵，于是他开始自己学习改装，在徒步时使用的三轮轮椅正是他依据马拉松用的轮椅DIY而成。7月12日，张健与雷闯、潘龙飞等公益人士从内蒙古乌兰察布市出发，沿着国道110一步一个脚印地往北京前进。这是他辞掉五星级酒店主管工作投身公益行业后，向自己发起的第一个挑战。一路上有惊险的弯道，有看不到头的上坡，有泥泞的土路。在广阔的内蒙古，往往走了大半天都没有饭馆，没有住宿的地方，到了河北则是连日狂风暴雨。漫长的路途伴随着各种困难，值得庆幸的是我们也遇到了无数好心人，有在半路把我们拦下来请我们吃饭的，有给我们买水买干粮的，有无条件邀请我们到家里住宿的。经历了18天的艰难旅程，张健和队友终于在7月29日到达首都北京，完成了这趟常人不敢想的冒险。他希望通过这次“壮举”让“无障碍出行”的理念深入到更多人的心里，“只有这样才能从根本上改善残障人士的出行条件。”小乡村的五金店最终没有找到能修补轮椅轮胎的物料，勉强修补过后，张健继续按十几分钟打一次气的节奏往前方的镇上赶，希望在那里能找到补救方法。在公路边上，队友为他的轮胎打气我们停在高庙子乡修轮椅。听说村里头来了这么一群“奇葩”，不少村民赶来看热闹，他们围着干瘪的轮胎讨论了一下午徒步途中突降暴雨，队友们在国道边上一个候车亭里避雨徒步第14天，张健和队友终于越过北京界路上的饭馆都没有无障碍通道，张健只能下了轮椅，蹲走进去，他说换作以前，他是不愿意别人看到他蹲着走路的尽管住宿条件很差，但大家都累了，吃完饭张健倒头就睡呼和浩特大清真寺，看到有小孩打球，张健兴冲冲地过去找他一起玩。小孩有点迟疑，直到发现眼前这个坐着轮椅的大叔篮球技术很好，才开始认真地比赛国道上，张健骑着改装后的运动轮椅快速经过，总会收获很高的回头率。路人好奇地张望，或上前拉开他的旗帜看看，这种关注度让张健倍受鼓舞，他说自己正在做一件别人不敢想象的事情大货车和烂路让我们徒步的速度大大减慢，大伙都变成了“人肉吸尘器”7月12日，张健开始了一趟为期18天、历程500公里的轮椅徒步，宣传残障人士无障碍出行的理念。这是他辞掉五星级酒店主管工作投身公益行业后，向自己发起的第一个挑战。在出发前我们特意去了一趟草原，这是张健第一次到大草原，他时而兴奋地推着轮椅冲上土坡，时而走下轮椅躺在草地上，有机会与世界面对面地接触，对残障人士来说特别珍贵,http://www.nfpeople.com/article/4438
丝绸高速公路,稿源：南方人物周刊  |  作者： 文/Pierre Delannoy   翻译/张蔷   图/Pascal Maitre -Cosmo  日期： 2018-01-03,昔日的丝绸之路是沙漠商队的必经之路，运送着无数香料、布匹，垄断了东西方之间的贸易往来。如今，伴随着经济全球化的进程，丝绸之路正在重生，高速的丝绸公路绵延5000公里，西起阿塞拜疆巴库，东至中国乌鲁木齐,（点击图片查看图集）欧洲与中国之间的贸易主要通过海路完成，阿塞拜疆却对横贯欧亚大陆的“丝绸之路”寄予了厚望。在一千多年的时间中，这条沙漠商队走出来的传奇线路曾是东西方贸易的唯一途径。“随着全球化和物流的发展，人们希望可以不断缩减货物运输的时间。国际陆路运输不再是一种单纯的运输方式，而变成了一种充满活力的生产推动力，促进全世界经济、社会和环境的发展。”国际道路运输联盟（IRU）主席扎努兹·拉可尼（Janusz Lacny）说道。如今，从上海出发运输货物至阿姆斯特丹，如果选择途经苏伊士运河的海路运输的话，需要至少一个月的时间，铁路运输需要不到3周的时间，而卡车运输只需要两周的时间。阿塞拜疆将是这个项目的最大受益者。作为新丝路起点的巴库正在欣欣向荣地发展。市中心经过了重建，华灯初上，霓虹闪烁。“石油工人大道”上坐落着众多高档的奢侈品商店，辉煌的灯火使大道亮如白昼。阿塞拜疆拥有着双重魅力：一方面它生产石油和天然气，另一方面它占据着重要的战略地理位置，特别是在全球经济向东方倾斜的今天。欧盟选择巴库作为实施“TRACECA”项目的总部。“TRACECA”项目是“欧洲-高加索-亚洲运输走廊”（Transport Corridor Europe-Caucasus-Asia）的简称，始于1993年。中亚是这个地球上距离海洋最遥远的国家。为了使之逐渐向国际市场打开大门，欧盟提议开发贯穿东西的交通走廊，这条走廊将集合公路、铁路、输油管道、输气管道、电话线路等等。从巴库搭乘“扎里发·阿里耶娃”（Zarifa Aliyeva）的轮渡，经历漫长的渡海之后，便抵达了阿克套（Aktau）。几年前，丝绸之路还只是当地一个旅游产品。如今，这条连接了黑海和黄海的通路成为了一种市场营销的标签，一种商业标识。人们总是把它与银行、航空公司、超市、加油站和文化中心联系在一起。哈萨克斯坦政府许诺将这座仅有20万人口的小城打造成沙漠中的高科技绿洲，横跨欧亚的“迈阿密”，但阿克套据此目标还很遥远。阿克套以北一千多公里的另一座石油城阿克托比（Aktobe）是“TRACECA”项目北部分支的起点。阿克托比到处是布满器械的工地、推土机、压路机和卡车。整条马路都被重新修整。事实上，所有前苏联时期修建的公路在2013年3月就停止使用了。一些女人一只手拿着晒干的鱼肉、另一只手拿着骆驼毛毛衣等在路边。这些成熟的女人高颧骨、镶着金牙，试图引诱那些匆匆而过的卡车司机。齐兹罗尔达（Kyzilorda）是从阿克托比出发后遇到的第一个较大的城市。这个地区生产石油和天然气，其产品主要销往中国。16家中国石油公司已经进驻这里，一条输油管将这里的石油输往中国。这里的阿科奥坎公司（Akkord Okan）是一家土耳其和阿塞拜疆的合资企业，是全球首屈一指的土木工程公司。该公司拿到了“西欧-中国西部”走廊的两个路段的建设合同。“全世界都在争相运输中国的集装箱，每年集装箱的数量可以达到两千万。而不久之后，数量将超过3000万。”阿科奥坎公司的中亚地区协调员贾维德·阿嘎耶夫（Javid Agayev）激动地说。阿科奥坎公司下一阶段的目标是获得阿拉木图（Almaty）至霍尔果斯（Khorgos）一线的修建合同，这是进入中国领土之前的最后一段道路。“这是最为关键的一段公路。”这位阿塞拜疆人强调说。一路向乌兹别克斯坦和吉尔吉斯斯坦靠近，进入中亚的中心。奇姆肯特（Shimkent）是这片地区最大的一个城市。面对中石油加油站的竞争，哈萨克斯坦石油公司（Helios）的加油站总是难以招架。沿途有一条与公路平行的铁路线，90%的货物，特别是运往中国的石油和原材料是通过铁路运输的。卡车主要运输易变质的食物和成品，也包括工业设备、机器、日常生活用品。用公路运输一吨货物的费用是用铁路运输的4倍。在修建所有贯穿东西方的道路枢纽的计划中，铁路是最受欢迎的，因为它的性价比无可比拟，而且对环境的影响小。只要可以很好地修复铁路线路、更换三分之二的列车，那么在欧亚走廊，列车的平均时速可以达到50公里。道尔多耶集市（Dordoy）距离吉尔吉斯斯坦首都比什凯克（Bichkek）有7000公里，是中亚地区最大的集市。“它是世界第十大集市。”冻得瑟瑟发抖的商人们说道。这里没有贴着瓷砖的大厅、没有带喷泉的漂亮客店，有的只是一个个集装箱：一共78000个。集装箱一个挨着一个，共摞成两层，形成了一个迷宫似的金属城市，总面积达300公顷。除了买卖货物之外，还可以买卖空的集装箱（每只价格大约为1000美元），亦可以把集装箱当作商店。哈萨克斯坦路段将是“TRACECA”项目的重中之重，为此，阿拉木图交通运输学院的院长穆拉特·贝科玛佳姆贝托夫（Murat Bekmagambetov）深感自豪。同时他也知道，他的国家迫于多方面压力，不得不实行“多向性”政策。换言之，俄罗斯自古以来就是他们的伙伴，莫斯科方面认为，“Traceca”项目是欧洲人的一个政治手段，旨在破坏它与其苏联兄弟国家的关系。哈萨克斯坦是“集体安全条约组织”的成员国，这个组织正是俄罗斯为了对抗北约建立的。因此，哈萨克斯坦将继续使用跨西伯利亚公路以及俄罗斯的输油管和公路。从阿拉木图出发沿着前苏联时期修建的公路行驶4个小时便可来到霍尔果斯（Khorgos），这是中哈边界4个哨卡中最重要的一个。卡车在暴风雪中排成了一条长线，静待入关。穿过阿尔泰山谷，便进入了中国。中国的西部已经成为世界大国瞩目的焦点。由于新疆与周边8个国家陆路接壤，拥有17个沿边一类口岸和12个二类口岸。乌鲁木齐始终面对两个13亿人口的巨大市场，一个是向东的国内市场，一个是向西包括中亚、南亚、俄罗斯的周边国家市场。2013年，该市新增国家和自治区级外贸出口基地6个，全口径外贸进出口总额高达120亿美元。为了加强东西方交流而修建丝绸之路，中国正是这项工程的主要承担者。这个曾经在公元前2世纪修建了丝绸之路的国家正壮志满怀，再一次积极推动高速丝路的发展。,http://www.nfpeople.com/article/2400
【图片故事】非洲人在广州,稿源：南方人物周刊  |  作者： 图、文/李东  日期： 2018-01-03,宝汉直街尽头是一条穿过广深高铁的隧道，每天数不清的黑色人群进去出来，带着大包货品，带着憧憬或疲倦。他们就像是一面黑色的镜子，我们早年移民海外的先人们聚居唐人街，想必也经历过类似的境况。在不同文明的交织与碰撞中，我们如何在这样的镜子中更好地认识对方、认识自己、认识世界呢？,穿过这隧道口，就进入了广州的非洲人街——越秀区尚存的唯一的城中村登峰街的南北主干街：宝汉直街。宝汉直街紧邻小北路口，离广州市委、广东省委只有几百米的距离（点击图片查看图集）暮色渐深，宝汉直街一反白天的冷清，开始热闹起来。街尽头的地铁口处，不断有三五成群的非洲人说笑着向这里走来；几家穆斯林餐厅人声鼎沸，烤鸡、烤饼、肉串散发出诱人的香气，他们互相打着招呼，将带来的新朋友介绍给熟人；街道另一端的成排商铺被“走鬼”们的衣服挑子挡个正着，架上色彩斑斓的衣服一看就是廉价货；士多店前的小桌旁，衣着暴露的黑皮肤女人喝着啤酒聊着天，不时爆发出一阵大笑……宝汉直街位于广州市中心越秀区小北下塘西路附近，长度仅为二三百米，是越秀唯一尚存的城中村登峰村的主干街。上世纪80年代，宁夏、新疆等地的穆斯林开始频繁往来于广州小北附近，他们带来了大批阿拉伯国家的商人。90年代末，第一批非洲黑皮肤商人进驻这里开店做生意，之后越来越多的非洲人涌入这座城市，大多数人从事“国际贸易”，将大批中国制造的商品，从最不起眼的日用品到大宗工程设备，统统运往非洲。在这里，你能听到英语、法语、阿拉伯语以及各地土语。除宝汉直街，附近小北、下塘、矿泉街道及白云区三元里一带也是非洲人喜欢聚居的地方，可统计的合法居住人口至少在2万以上，当然不包括数量不详的非法入境、非法居留、非法就业的“三非人群”，而“三非人群”的数量，各家报道从10万到20万不等。对初来乍到的非洲人来说，宝汉直街的优势显而易见：周边大型商场、批发市场和商贸城林立；火车站、地铁站、酒店不过相距几百米；去清真寺礼拜步行即达；五六家穆斯林餐厅足够一饱口福；超市和七八间士多店方便购买生活用品和饮料，正宗的木薯面和其他各种非洲调料食材都能找到……这里住房的租金也还凑合，不过租给非洲人会贵些，十几平方米的房子1000元到2000元不等，家电和家具的磨损率高是一个主要原因。“他们的块头太大，上次那个‘鬼佬’把床都坐塌了。”一位房东抱怨道。甚至有些人来自原始部落，不会开锁，不会使用空调、煤气灶，实在急了踢门进入房间，煤气用完了连炉带罐搬到房东面前。初次来中国做生意的非洲人获得签证并不容易，且期限仅为两三个月，如果觅得商机，那么就得回去再续签，如此反复几次，才有可能获得更长期限的签证。邻居莫利曾经每天奔波于各大批发市场，出入广交会，努力寻找每个和基建工程相关的生意机会，但两个月的签证到期，他却一无所获，只好返回苏丹老家。很多像他这样境况的人会想尽办法“黑”下来，宁可做货场的苦力，白天睡觉，晚上搬运，也会有人去做见不得人的事，比如贩毒、走私、兑黑币等等。近两年，由于警力控制的加强，一些非洲人搬至更远、监控相对宽松、生活成本更低的南海和佛山一带。2009年7月查护照引发的非洲人围堵警局事件之后，民警、城管巡视得更为频繁。宝汉直街专门成立了登峰派出所宝汉社区服务站，抽调了很多会英语的警员。有些非洲人平时挺怕警察，可一旦急起来，可能四五个警察也按不住，因此常常看见十多个全副武装的民警结队巡逻。宝汉直街尽头是一条穿过广深高铁的隧道，每天数不清的黑色人群进去出来，带着大包货品，带着憧憬或疲倦。他们就像是一面黑色的镜子，我们早年移民海外的先人们聚居唐人街，想必也经历过类似的境况。在不同文明的交织与碰撞中，我们如何在这样的镜子中更好地认识对方、认识自己、认识世界呢？,http://www.nfpeople.com/article/1886
【眼界】香港,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,4月24日，香港“M+进行：充气!”雕塑作品展，阿根廷艺术家Tomás Saraceno展出作品《一呼一吸一穹苍》，箔膜在阳光投射下映出七彩华光,,http://www.nfpeople.com/article/1869
眼界 | 巴西,稿源：南方人物周刊  |  作者： 图/Nacho Doce  日期： 2018-01-03,巴西圣保罗滨海小城桑托斯，一所冲浪学校专门为老年人开办免费课程，每周开课三次，旨在帮助老年人摆脱社会偏见，保持年轻活力。老人家都是年过半百，但精力充沛，通过冲浪重拾信心，乐观面对生活。, ,http://www.nfpeople.com/article/5360
眼界 | 中国女排,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,​10月13日，中国女排在2014女排世锦赛上夺得亚军，而距离上次闯进决赛，已是16年之久。中国女排在上世纪80年代曾是国人心中的骄傲，可惜后来在急功近利的发展模式下，女排成绩下滑严重，沦为二流球队。与16年前一样，郎平再次在低谷期带领女排创造奇迹，重燃了球迷心里的希望。（图/OLIVIER MORIN）, ,http://www.nfpeople.com/article/3003
【眼界】瀑布,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,3月3日，在美国与加拿大边界，尼亚加拉瀑布受严寒天气影响，顶上结冰，水流冲下时水雾腾腾，远处是一座老旧的水电站。,,http://www.nfpeople.com/article/1229
眼界 | 遗忘之地,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,​德国柏林魔鬼山，原美国国安局监听站破损的球形设施。魔鬼山间谍站曾经是纳粹的重要基地，冷战期间被美国国安局用作监控中心监听东德。柏林墙倒后，监听站被遗弃。1992年，美国人带走了他们的电子设备，留下空置的圆顶雷达站  （图/Markus Schreiber）,德国柏林魔鬼山，原美国国安局监听站破损的球形设施。魔鬼山间谍站曾经是纳粹的重要基地，冷战期间被美国国安局用作监控中心监听东德。柏林墙倒后，监听站被遗弃。1992年，美国人带走了他们的电子设备，留下空置的圆顶雷达站  （图/Markus Schreiber）纳米比亚南部纳米布沙漠中的科尔芒斯科普，黄沙涌入一所房子。1908年，人们在这一地区发现了钻石，当时的德国殖民者闻讯蜂拥而至，并建起了一座德国风格的小城。城内设施完善，包括学校、舞厅、赌场、制冰厂和保龄球馆。第一次世界大战后，小城日渐衰落，终因资源枯竭等原因在上世纪50年代被人们抛弃，并逐渐被黄沙吞噬。（图/Jerome Delay）澳大利亚悉尼，洛德电车厂内破旧的电车残骸，这里成了涂鸦胜地。1879年悉尼建立电车网络后，电车曾是人们生活中不可或缺的重要部分，高峰时期有1600辆电车投入使用。1961年，悉尼关闭电车系统，电车从市民的视线中消失  （图/Rob Griffith）,http://www.nfpeople.com/article/3197
